Deviations,EmotionCount,NumberWord,SucRate,Time2ans
10.0,6.0,1.0,1.21,72.41
13.0,0.0,8.0,2.56,12.5
15.0,0.0,3.0,1.12,22.63
5.0,107.0,12.0,2.67,27.85
18.0,87.0,5.0,1.38,26.9
30.0,25.0,2.0,5.0,24.47
2.0,87.0,1.0,6.67,23.36
2.0,55.0,2.0,9.38,13.88
2.0,110.0,1.0,0.08,20.73
0.0,133.0,6.0,4.12,12.52
1.0,187.0,4.0,3.26,17.16
1.0,179.0,7.0,3.94,14.6
7.0,401.0,2.0,2.67,60.44
10.0,81.0,1.0,2.31,20.83
13.0,272.0,4.0,4.29,63.79
3.0,27.0,6.0,5.14,16.23
9.0,2.0,3.0,0.86,27.87
10.0,2.0,3.0,6.52,17.18
0.0,0.0,5.0,4.24,24.32
0.0,0.0,1.0,1.33,20.09
